,'LCPI','LIP','FF','GS1','GS2','EBP'
'01-Feb-1988 00:00:00',475.5313,410.2716,6.58,6.64,7.18,0.228407
'01-Mar-1988 00:00:00',475.7891,410.508,6.58,6.71,7.27,-0.04841
'01-Apr-1988 00:00:00',476.3882,411.038,6.87,7.01,7.59,0.001875
'01-May-1988 00:00:00',476.6438,410.9517,7.09,7.4,8,0.049413
'01-Jun-1988 00:00:00',477.0685,411.1965,7.51,7.49,8.03,0.093573
'01-Jul-1988 00:00:00',477.4913,411.3269,7.75,7.75,8.28,-0.230565
'01-Aug-1988 00:00:00',477.9124,411.747,8.01,8.17,8.63,-0.014694
'01-Sep-1988 00:00:00',478.3316,411.4033,8.19,8.09,8.46,0.146262
'01-Oct-1988 00:00:00',478.6658,411.9257,8.3,8.11,8.35,0.236986
'01-Nov-1988 00:00:00',478.9989,412.0978,8.35,8.48,8.67,0.101988
'01-Dec-1988 00:00:00',479.3308,412.5323,8.76,8.99,9.09,0.23073
'01-Jan-1989 00:00:00',479.7442,412.79,9.12,9.05,9.18,0.138146
'01-Feb-1989 00:00:00',480.0737,412.3722,9.36,9.25,9.37,-0.00409
'01-Mar-1989 00:00:00',480.5659,412.6536,9.85,9.57,9.68,0.280599
'01-Apr-1989 00:00:00',481.2997,412.6931,9.84,9.36,9.45,0.50671
'01-May-1989 00:00:00',481.7859,412.023,9.81,8.98,9.02,0.227865
'01-Jun-1989 00:00:00',482.1088,412.0848,9.53,8.44,8.41,0.408043
'01-Jul-1989 00:00:00',482.4306,411.1171,9.24,7.89,7.82,0.641174
'01-Aug-1989 00:00:00',482.4306,411.9796,8.99,8.18,8.14,0.352247
'01-Sep-1989 00:00:00',482.6712,411.7239,9.02,8.22,8.28,0.373951
'01-Oct-1989 00:00:00',483.1509,411.616,8.84,7.99,7.98,0.274534
'01-Nov-1989 00:00:00',483.5488,411.918,8.55,7.77,7.8,0.463822
'01-Dec-1989 00:00:00',483.866,412.5047,8.45,7.72,7.78,0.406334
'01-Jan-1990 00:00:00',484.8116,411.8969,8.23,7.92,8.09,0.121781
'01-Feb-1990 00:00:00',485.203,412.8269,8.24,8.11,8.37,0.241804
'01-Mar-1990 00:00:00',485.6707,413.3629,8.28,8.35,8.63,0.349573
'01-Apr-1990 00:00:00',485.9037,413.2314,8.26,8.4,8.72,-0.029281
'01-May-1990 00:00:00',486.0587,413.4243,8.18,8.32,8.64,-0.071917
'01-Jun-1990 00:00:00',486.6765,413.7447,8.29,8.1,8.35,0.035864
'01-Jul-1990 00:00:00',487.1373,413.5995,8.15,7.94,8.16,0.006528
'01-Aug-1990 00:00:00',487.9767,413.8833,8.13,7.78,8.06,-0.269673
'01-Sep-1990 00:00:00',488.6583,414.0822,8.2,7.76,8.08,-0.051052
'01-Oct-1990 00:00:00',489.3352,413.3222,8.11,7.55,7.88,0.099413
'01-Nov-1990 00:00:00',489.5598,412.1024,7.81,7.31,7.6,0.258542
'01-Dec-1990 00:00:00',489.9331,411.4036,7.31,7.05,7.31,0.192606
'01-Jan-1991 00:00:00',490.305,410.9627,6.91,6.64,7.13,0.22076
'01-Feb-1991 00:00:00',490.3792,410.319,6.25,6.27,6.87,0.139982
'01-Mar-1991 00:00:00',490.3792,409.7978,6.12,6.4,7.1,0.095124
'01-Apr-1991 00:00:00',490.6015,409.9621,5.91,6.24,6.95,0.092676
'01-May-1991 00:00:00',490.9709,410.9627,5.78,6.13,6.78,0.106881
'01-Jun-1991 00:00:00',491.2655,411.9382,5.9,6.36,6.96,0.033201
'01-Jul-1991 00:00:00',491.4124,411.912,5.82,6.31,6.92,0.115509
'01-Aug-1991 00:00:00',491.7057,412.0612,5.66,5.78,6.43,0.074946
'01-Sep-1991 00:00:00',491.9981,412.929,5.45,5.57,6.18,0.088652
'01-Oct-1991 00:00:00',492.144,412.7101,5.21,5.33,5.91,0.086014
'01-Nov-1991 00:00:00',492.5804,412.6021,4.81,4.89,5.56,0.095896
'01-Dec-1991 00:00:00',492.8702,412.2368,4.43,4.38,5.03,0.02729
'01-Jan-1992 00:00:00',492.9425,411.6077,4.03,4.15,4.96,-0.038977
